IBOV - Carteira do Dia 23/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.482.105.837;3,328;3,328;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.601;1,350;1,350;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;332.825.777;0,133;2,046;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,598;2,046;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,315;2,046;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;835.221.269;0,839;3,005;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,694;3,005;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331.799.687;0,178;3,005;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,081;3,005;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,213;3,005;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.245.879;2,470;2,470;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.217.892;0,687;1,010;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,272;1,010;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,051;1,010;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,608;0,608;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,176;0,176;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;62.305.891;0,158;1,187;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,151;1,187;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.452.770;0,614;1,187;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,206;1,187;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;314.729.428;0,058;1,187;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;166.362.038;0,070;0,207;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,137;0,207;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,262;0,448;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,064;0,448;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;375.130.280;0,122;0,448;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.582.771;0,047;0,047;
Diversos;COGN3;COGNA ON;ON      NM;1.814.903.540;0,146;2,283;
Diversos;RENT3;LOCALIZA;ON      NM;863.138.188;1,765;2,283;
Diversos;VAMO3;VAMOS;ON      NM;498.860.020;0,214;2,283;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,158;2,283;
