Setor;Codigo;Acao;Tipo;Qtde_Teorica;Part_percentual;Part_Acum_percentual
Utilidade Publ / Energ Eletrica;CMIG4;CEMIG;PN      N1;1868640510;0.962;11.02
Utilidade Publ / Energ Eletrica;CPLE6;COPEL;PNB     N2;1679233590;0.824;11.02
Utilidade Publ / Energ Eletrica;CPFE3;CPFL ENERGIA;ON      NM;187732538;0.297;11.02
Utilidade Publ / Energ Eletrica;ELET3;ELETROBRAS;ON      N1;1945040784;3.503;11.02
Utilidade Publ / Energ Eletrica;ELET6;ELETROBRAS;PNB     N1;268733136;0.538;11.02
Utilidade Publ / Energ Eletrica;ENGI11;ENERGISA;UNT     N2;326265871;0.729;11.02
Utilidade Publ / Energ Eletrica;ENEV3;ENEVA;ON      NM;1579630820;0.966;11.02
Utilidade Publ / Energ Eletrica;EGIE3;ENGIE BRASIL;ON      NM;255236961;0.558;11.02
Utilidade Publ / Energ Eletrica;EQTL3;EQUATORIAL;ON      NM;1155467134;1.823;11.02
Utilidade Publ / Energ Eletrica;TAEE11;TAESA;UNT     N2;218568234;0.355;11.02
Utilidade Publ / Energ Eletrica;TRPL4;TRAN PAULIST;PN      N1;395801044;0.465;11.02
