IBOV - Carteira do Dia 22/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.482.105.837;3,343;3,343;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.601;1,455;1,455;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;332.825.777;0,133;2,033;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,589;2,033;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,311;2,033;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;835.221.269;0,836;3,001;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,690;3,001;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331.799.687;0,177;3,001;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,082;3,001;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,216;3,001;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON  ATZ;4.394.245.879;2,458;2,458;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.217.892;0,678;0,992;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,261;0,992;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,053;0,992;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,610;0,610;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,179;0,179;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON  ED  NM;62.305.891;0,155;1,165;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,148;1,165;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.452.770;0,592;1,165;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,211;1,165;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;314.729.428;0,059;1,165;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;166.362.038;0,070;0,205;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,135;0,205;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,254;0,436;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,062;0,436;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;375.130.280;0,120;0,436;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.582.771;0,047;0,047;
Diversos;COGN3;COGNA ON;ON      NM;1.814.903.540;0,145;2,302;
Diversos;RENT3;LOCALIZA;ON      NM;863.138.188;1,787;2,302;
Diversos;VAMO3;VAMOS;ON      NM;498.860.020;0,214;2,302;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,156;2,302;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,551;1,089;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,223;1,089;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.505.432;0,315;1,089;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.560.910.983;2,748;2,748;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.489.259.656;0,814;17,506;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.135.772.281;3,059;17,506;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.247.534;3,675;17,506;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,742;17,506;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.740.126.023;7,745;17,506;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT EJ;342.918.449;0,471;17,506;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,093;1,210;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,117;1,210;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.602.790.110;2,985;3,286;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.462.329;0,301;3,286;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;302.768.240;0,102;2,597;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,797;2,597;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,698;2,597;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.992.819;0,227;13,403;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,271;13,403;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.427.123.466;12,905;13,403;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.877.867;0,232;0,232;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.246.339.197;1,117;2,037;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;660.411.219;0,348;2,037;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;600.865.451;0,362;2,037;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.391;0,210;2,037;
